,count,percentage,EOA_count,EOA_percentage
erd102975u07wnv0t8pl389l6dag2r9ca8ql2dsjvgc8jp59a39ycd4q4dsfdw,295,1.819976556234191,295,1.819976556234191
erd1ssa92sdpuxjppdm7jyxxr2xq7tzdudefauv8yf7qr8dw3x9pfztqtn7at7,1,0.006169412055031155,197,1.2153741748411377
erd1rug76gemf4qz3r0msqu3an7ygaqe57eugtxjvxw9lyhek5ll08vsmxsaad,0,0.0,183,1.1290024060707016
erd1aq88xq8gj0c42us7rt279ptl7573tx6rm9dwnmxl0vnz8qh7htqqyy2uwq,0,0.0,146,0.9007341600345488
erd1f9l7hfrgrngux8j07dsp3q9ukmjqqsj4zy4xlyhfdc32swarz0lqtw3zmj,0,0.0,129,0.795854155099019
erd1snlfasu8f8jjuwfemfvj9ppxn59mg6m84u9s0x6spwymefl8lz3ql62p95,0,0.0,125,0.7711765068788945
erd1lt6lmsjhfjet7kgra662a9hsd945ea5g0le5h490cgp5yqv0p34s97mxm2,0,0.0,119,0.7341600345487075
erd1stefppj50dtglfj4ju4a4f0r273j62z6rhg6wmhuu0tsg907lraqm27krp,0,0.0,111,0.6848047381084582
erd1hzxnslanghsxjf7un6tz4hhlgsd9tmtygxz3np3u27ckytzlaanstavtz4,0,0.0,104,0.6416188537232401
erd10t86rsk3rzaap7gqkcgp930d24rw8wusx8e6z4ncfgqxqp3s29ss4fvkz6,22,0.13572706521068542,86,0.5305694367326794
erd1hydf2rf6tu6t8sc99gflkndtspl5j5lntxnwykrzwxf5wjk0ym0q9zy2ph,0,0.0,74,0.45653649207230546
erd158z0p9wln37nrvszhqfquh27wsj2c6d5kp4m5llcfuy76akjrz2q2t95tx,7,0.04318588438521809,72,0.44419766796224325
erd1y5rgw9n63w4ye6ssgnnpmmw727a7y6sqa3g5n2h68trdx6ut6mqqd08v9h,0,0.0,69,0.4256894317971497
erd16arqd7f0wku30lpp206qcy2xjulph0apgkns0xrd985p8znp85aqz9n8st,0,0.0,67,0.4133506076870875
erd1kr9ecskejadz7zcggw06r5ez5xkyajj7452ryg5s55axhkz6ue8qyx9t7z,0,0.0,65,0.4010117835770251
erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,6,0.037016472330186935,65,0.4010117835770251
erd19f8zepmh6ems03rrcwsx7uu3hths3jvds0edwgkqewy2j6n2g0fqgukwtw,2,0.01233882411006231,60,0.37016472330186934
erd1sc6q62dwmfrhpcxed5l77p49eyek6lf96qykyhplryvuel7ulvdqzzwzsr,0,0.0,60,0.37016472330186934
erd1na9ufqezgxnf8mzke2zxd99xtmc3ee63evqurnse3ua4cjw0fy8s0r8s0k,1,0.006169412055031155,59,0.3639953112468382
erd199a6cqm5lzgurklly9pcgefcpxurk0qcte754ndrhzmq8vycd4rqccg30t,18,0.11104941699056081,56,0.3454870750817447
erd1qe8p3sxmlhjx943qhaacyj8m9p525ktq367kmww2m0t7tzvch4wsmwwmg0,0,0.0,54,0.3331482509716824
erd1rdayj8kwvyplp8wcsnn9jmr0jh88c4ujtclev66hlz90cjh0lv7sqgjhwe,51,0.31464001480658893,51,0.31464001480658893
erd1de6pcg5k8kf32kql6gxqt0rgldpsts3xrpj5r0ffyn62vrt8zghqf5gctz,0,0.0,50,0.3084706027515578
erd1fe30p9aqjdt7x06wnchqfkmzcxyve942w7upsje4slm2r5nw3juqrj66wg,0,0.0,50,0.3084706027515578
erd1t80ufkyhwdkhr258zndmsunxdczdjsv330wa98kzcnzlhqdjylwqk62mh8,0,0.0,50,0.3084706027515578
erd1y9muck9tzxxgjgyn20tgcgttyd362awvptjcgmwvgafmhfl65was6sark5,3,0.018508236165093468,48,0.2961317786414955
erd1whxprrk7swdt7dpf9elvcaepxnt7wh04wrpqwjex4ng85j78992qj0ju6w,5,0.03084706027515578,48,0.2961317786414955
erd1s2m5np8hg3z33vlktv4xwltkf7xseecce2267vtcce24zu9ta4wscqgmv3,0,0.0,48,0.2961317786414955
erd1avg4krjfrfg0u6lm8cejeac8f93au3uxhshmfn25k7mc5h3gzrfqf7ukjd,6,0.037016472330186935,47,0.2899623665864643
erd1ugxwaqqljue507gfaagdwvlv7g345n56jyqm4mqph59yrur78sjseuepd2,1,0.006169412055031155,47,0.2899623665864643
erd1u5cxq9m0lrv2w9dezepr88eyhhxntpy69cpr9kfr0sfax2glzlrqxv7u8g,1,0.006169412055031155,45,0.27762354247640203
erd12xun43zaej6kdh6eh0u9kku36x5wyzw4yqm74q52flep40wjxlhs3jyhjt,11,0.06786353260534271,44,0.27145413042137084
erd1nfluw5gs55dgk9w8twzrz6lnp0yc3ukw8qsr9ll6gnmshpug638qv00nsu,0,0.0,42,0.2591153063113085
erd1nwakpepr0trwq8a8qyevlfxlzh5d35cg0afpafjhg8939ut2jxdqcdqech,0,0.0,41,0.2529458942562774
erd1spm863ywflqdpu3kxjrndgze28gecqtfgx9nvtf5n33j0jr9fjeqdfayw4,0,0.0,41,0.2529458942562774
erd19ghd5tf0sxju7zueyhk5qgsgjmwrqlt4jspu3sm6jzm9fe35qcwstgw2zc,0,0.0,40,0.24677648220124623
erd16u5e6gh0grt0xf4ehc0g8p2gk8vh2t6ce6salqenr9zyjnrpq2qshmph05,2,0.01233882411006231,40,0.24677648220124623
erd1hrrf5ar9ugz6gh9s9a6v5ept79s9tnnpzwt4ut9t8yug26cms88qnc0zuz,0,0.0,38,0.23443765809118391
erd1gcs4tfd4lnej86x4a8cxxn5xdmnneafgng0pye74463kp4r0rp4qp0x9ju,0,0.0,38,0.23443765809118391
erd1hndw66yfx5glwpf7f8dh7es4twcdyp5z7u7cacsyvp4rjgfpqnrqlv89tk,0,0.0,37,0.22826824603615273
erd1vsns5n42arn6g62l8teff0n45zu7efjdfkxzljwxu4gf064ww5wql86uz0,1,0.006169412055031155,35,0.21592942192609046
erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,5,0.03084706027515578,33,0.20359059781602812
erd1gnglqf7dvlachpfpzpykh9vjd5g9p7edvaapm8pc6kkfmh3u2lpqt254nn,0,0.0,33,0.20359059781602812
erd1tm80dnqham7rcp6n57uvw7tlasuu7taufrhhwtg2jrerqd05k5cq70n3qu,0,0.0,33,0.20359059781602812
erd10q3we4pt9k2h830s8hhxwfk4ea5zjaprde0dkjcmrdy53dv07sjqz2lzyt,2,0.01233882411006231,32,0.19742118576099696
erd1ttfkec3sj8gy4590lqvgwtdd8xzkl8wxhcy7tv06skha9rzdcudszd603e,1,0.006169412055031155,32,0.19742118576099696
erd1h29t8znkdhz4ycc5p797qang79kxewv789c95ef7pv8wj9q55gcsa9z3l6,2,0.01233882411006231,32,0.19742118576099696
erd1ze3t76y25cr0caa8r9dnaf3ftch22tpz8l9zzjv868fh72fhk55q6r3hjq,1,0.006169412055031155,31,0.19125177370596583
erd18rl67w03ty7agdrlfdp25n3ggrfjpv5upywwaydg3ugumrshk8yslkh9kg,3,0.018508236165093468,31,0.19125177370596583
erd1cwvptus402xndukhjsch4m9zf2msruzk5dyfypjprftdwm978elsg6s5ee,0,0.0,31,0.19125177370596583
erd1wpcpl0dfqync8n7pvx7ua3uvh7y6hr93awarxwmvw5vq5hsnasssc6al83,0,0.0,30,0.18508236165093467
erd1tuwx49dy9mttf2qedxkvxr7fjhrp9shywpe8yl40jarn37gjfxaqxauswl,3,0.018508236165093468,29,0.1789129495959035
erd1u53emnx6cm3kjd6v7nszzpjqnjxk2yp93v553gzt6kmc7nur5ggsnljyrp,2,0.01233882411006231,29,0.1789129495959035
erd1s6ph4unxkcepktnjdta6uhncws3xe8h6yev2e8wtnrsk2faz0lus5qtyag,0,0.0,29,0.1789129495959035
erd16c5wms50gh8x5cjk5t3nuwraf2glx6v88slp4sv4lstazzhvwx3s56vmn2,0,0.0,29,0.1789129495959035
erd1859ama8psgnyzc570paq8kx7ukrrrl293xf5gjhpkz3zu8v6wdqqgcktzc,28,0.17274353754087235,29,0.1789129495959035
