,nft_owned,number_holders
0,1,3057
1,2,1111
2,3,457
3,4,238
4,5,146
5,6,84
6,7,67
7,8,39
8,9,37
9,10,35
10,12,19
11,11,16
12,14,13
13,16,11
14,15,10
15,13,9
16,17,8
17,21,8
18,23,7
19,28,6
20,29,6
21,18,5
22,20,5
23,22,5
24,19,4
25,24,4
26,31,3
27,50,3
28,48,3
29,32,3
30,33,3
31,26,3
32,25,3
33,47,2
34,65,2
35,38,2
36,40,2
37,41,2
38,60,2
39,27,2
40,119,1
41,86,1
42,104,1
43,111,1
44,30,1
45,72,1
46,125,1
47,129,1
48,146,1
49,183,1
50,197,1
51,74,1
52,59,1
53,69,1
54,67,1
55,56,1
56,54,1
57,51,1
58,45,1
59,44,1
60,42,1
61,37,1
62,35,1
63,295,1
