identifier,nonce,originalUrl,thumbnailUrl,id,rank,stats,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2
CEA-2d29f9-01,1,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1598.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e0f6e503,1598,1948,https://metadata.verko.io/dynamic/2/1598,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,Tank Shirt Green,Tactical Pants Blue,Tactical Bags Blue,Desert,Scavenger,Escape Artist
CEA-2d29f9-02,2,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1588.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d931bec7,1588,1977,https://metadata.verko.io/dynamic/2/1588,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,None,None,Bandolier,Pilot Pants Brown,Tactical Bags Blue,Desert,Escape Artist,Automatic Weapons Proficiency
CEA-2d29f9-03,3,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1636.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0eaf5e7f,1636,1673,https://metadata.verko.io/dynamic/2/1636,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Love Glasses,None,None,None,T Shirt Brown,Tactical Pants Green,Titan Bags Red,Desert,Scavenger,Automatic Weapons Proficiency
CEA-2d29f9-04,4,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/483.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3fef954f,483,468,https://metadata.verko.io/dynamic/2/483,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,Love Glasses,Pipe,None,Sugegasa,Large Vest Red,Mercenary Pants Green,Waistband Blue,Golden,Scavenger,Black Widow
CEA-2d29f9-05,5,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/930.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8c506103,930,1114,https://metadata.verko.io/dynamic/2/930,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,None,None,Punk,Bowler,Default,Tactical Pants Blue,Dual Grenades 2 Blue,Artic,Scatter Weapons Proficiency,Cool Moves
CEA-2d29f9-06,6,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/610.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-bafc488c,610,833,https://metadata.verko.io/dynamic/2/610,Genesis Cantina Elrond Ape,Gold,Default,Platinum Open,Platinum,None,Pacifier,None,Sugegasa,Company Armor Mk.2 Orange,Tactical Pants Brown,Company Bags Blue,Golden,Black Widow,Resilience
CEA-2d29f9-07,7,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1913.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d9cea659,1913,1932,https://metadata.verko.io/dynamic/2/1913,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,T Shirt Green,Company Pants Black,Titan Bags Black,Desert,Scavenger,Elemental Weapons Proficiency
CEA-2d29f9-08,8,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1453.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-6abbf432,1453,1021,https://metadata.verko.io/dynamic/2/1453,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Monolaser,Exotic Flower,Punk,None,Default,Tactical Pants Brown,Titan Bags Red,Desert,Resilience,Escape Artist
CEA-2d29f9-09,9,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1890.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3c55716b,1890,1293,https://metadata.verko.io/dynamic/2/1890,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Cybermeta Tokyo,Bone,None,None,Leather Vest Brown,Tactical Pants Black,Ammo Belt,Desert,Perseverance,Overachiever
CEA-2d29f9-0a,10,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/252.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-6c768469,252,340,https://metadata.verko.io/dynamic/2/252,Genesis Cantina Elrond Ape,Epic,Augmented,Gold Open,Gold,None,Party Blower,None,Paint,Pilot Armor Mk.2 Orange,Rogue Pants Black,Tech Belt Red,Outworld,Stonewall,Perseverance
