price,id,name,stats,description,dna,genesis,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,collectionName,gameName,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
2.08,6876,Genesis Space Ape #6876,https://metadata.verko.io/dynamic/1/6876,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00010000041e18033a760c3009,True,Genesis Space Ape,Silver,Default,None,Cream,Blindfold White,Phoneme L,Silver Hoop,Fawks Hawk White,Mercenary Armor Black,Company Pants Blue,Titan Bags Green,Artic,Hodler,Cold Blooded,Genesis Space Ape,Cantina Royale,1,0,2700,1400,0,0,1.0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
5.2,2467,Genesis Space Ape #2467,https://metadata.verko.io/dynamic/1/2467,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300000e0912044f5723140b,True,Genesis Space Ape,Epic,Default,None,Solid Gold,Cyborg,Grin,Gold Hoop,Headband Red,Company Armor Mk.2 Green,Mercenary Pants Black,Dual Grenades 2 Black,Outworld,Scatter Weapons Proficiency,Adrenaline Rush,Genesis Space Ape,Cantina Royale,1,0,2900,1600,0,0,1.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
4.2,12999,Genesis Space Ape #12999,https://metadata.verko.io/dynamic/1/12999,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000000000c0512000049090208,True,Genesis Space Ape,Bronze,Default,None,Red,Bored,Grin,None,None,Tactical Vest Brown,Tactical Pants Blue,Radio,Desert,Explosive Weapons Proficiency,Overachiever,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
5.0,2648,Genesis Space Ape #2648,https://metadata.verko.io/dynamic/1/2648,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000200001d011108285607020a,True,Genesis Space Ape,Gold,Default,None,Oil,Angry,Dumbfounded,Silver Double Helix,Cap Brown,Company Armor Mk.2 Orange,Tactical Pants Brown,Radio,Golden,Explosive Weapons Proficiency,Precision Weapons Proficiency,Genesis Space Ape,Cantina Royale,3,4,2941,1573,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
12.0,1736,Genesis Space Ape #1736,https://metadata.verko.io/dynamic/1/1736,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300001f01000f3461260c0b,True,Genesis Space Ape,Epic,Default,None,Ruby,Angry,Bored,Gold Double Stud,Combat Helmet Blue,Titan Armor Mk.2 Blue,Mercenary Pants Red,Dual Dagger Holster Brown,Outworld,Nano Meds,Explosive Weapons Proficiency,Genesis Space Ape,Cantina Royale,6,1687,3443,1896,0,0,1.48,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0
2.6,5546,Genesis Space Ape #5546,https://metadata.verko.io/dynamic/1/5546,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0001000004171d08443a213009,True,Genesis Space Ape,Silver,Default,None,Cream,Sleepy,Small Grin,Silver Double Helix,Beanie Red,T Shirt Brown,Rogue Pants Black,Titan Bags Green,Artic,Scavenger,Resilience,Genesis Space Ape,Cantina Royale,1,18,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0
9.65,1028,Genesis Space Ape #1028,https://metadata.verko.io/dynamic/1/1028,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00030000151902025071182a0b,True,Genesis Space Ape,Epic,Default,None,Muerto,Wide Eyed,Bored Cigar,Gold Cross,Headband Black,Rogue Armor Orange,Pilot Pants White,Tech Belt Green,Outworld,Adrenaline Rush,Black Widow,Genesis Space Ape,Cantina Royale,7,2338,3613,1990,5,5,1.6,0,0,0,1,10,0,10,0,1,0,0,0,0,0,0,0,1,1,0,1,0
3.0,6877,Genesis Space Ape #6877,https://metadata.verko.io/dynamic/1/6877,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00010000001f1c05294d090909,True,Genesis Space Ape,Silver,Default,None,Black,Blindfold Brown,Rage,Silver Stud,Cap Blue,Tactical Vest Green,Tactical Pants Blue,Dagger Holster Brown,Artic,Overachiever,Nano Meds,Genesis Space Ape,Cantina Royale,4,46,2940,1523,0,0,1.27,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
5.0,13978,Genesis Space Ape #13978,https://metadata.verko.io/dynamic/1/13978,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000000000b061600003a1b0208,True,Genesis Space Ape,Bronze,Default,None,Pink,Closed,Jovial,None,None,T Shirt Brown,Pilot Pants Brown,Radio,Desert,Hodler,Cool Moves,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
9.6,1301,Genesis Space Ape #1301,https://metadata.verko.io/dynamic/1/1301,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300001e230302305a28070b,True,Genesis Space Ape,Epic,Default,None,Radioactive,Holographic Green,Bored Cigarrette,Gold Cross,Cowboy Hat Brown,Titan Armor Red,Cyborg Legs Green,Dagger Holster Green,Outworld,Stonewall,Cold Blooded,Genesis Space Ape,Cantina Royale,15,3201,5504,3030,45,45,3.01,0,2,6,12,3,0,3,0,0,0,10,0,4,0,2,0,1,0,3,2,0
